ltable_id,rtable_id,prediction
11,20440,0.0
12,20440,0.0
45,12911,0.0
45,20440,0.0
77,12911,0.0
112,12911,0.0
112,20440,0.0
113,11186,0.0
113,16170,0.0
153,12911,0.0
171,11186,0.0
200,9191,0.0
200,11186,0.0
262,9191,0.0
262,12911,0.0
262,20440,0.0
263,9191,0.0
263,11186,0.0
263,12911,0.0
263,20440,0.0
300,9191,0.0
300,11186,0.0
300,12911,0.0
300,13758,0.0
300,20440,0.0
301,11186,0.0
332,9191,0.0
332,11186,0.0
332,13758,0.0
367,9191,0.0
367,11186,0.0
367,12911,0.0
367,20440,0.0
401,9191,0.0
401,11186,0.0
401,12911,0.0
401,20440,0.0
402,9191,0.0
402,11186,0.0
402,12911,0.0
403,11186,0.0
441,11186,0.0
443,11186,0.0
443,12911,0.0
443,20440,0.0
445,9191,0.0
445,11186,0.0
445,16170,0.0
486,9191,0.0
486,11186,0.0
487,9191,0.0
487,11186,0.0
487,20440,0.0
488,12911,0.0
520,9191,0.0
520,11186,0.0
521,11186,0.0
521,20440,0.0
552,12911,0.0
552,20440,0.0
553,9191,0.0
553,11186,0.0
553,16170,0.0
554,9191,0.0
554,11186,0.0
554,20440,0.0
608,9191,0.0
608,11186,0.0
651,9191,0.0
651,11186,0.0
651,12911,0.0
651,20440,0.0
653,11186,0.0
653,12911,0.0
653,20440,0.0
689,9191,0.0
689,11186,0.0
689,12911,0.0
689,20440,0.0
727,11186,0.0
727,12911,0.0
727,20440,0.0
730,11186,0.0
730,12911,0.0
731,11186,0.0
731,12911,0.0
731,20440,0.0
762,9191,0.0
813,11186,0.0
815,9191,0.0
815,11186,0.0
842,9191,0.0
842,11186,0.0
844,12911,0.0
844,20440,0.0
1079,11186,0.0
1115,12911,0.0
1115,20440,0.0
1116,9191,0.0
1116,11186,0.0
1116,16170,0.0
1160,11186,0.0
1160,16170,0.0
1243,9191,0.0
1243,11186,0.0
1243,12911,0.0
1243,20440,0.0
1274,16170,0.0
1275,9191,0.0
1275,11186,0.0
1275,12911,0.0
1275,20440,0.0
1331,9191,0.0
1331,11186,0.0
1332,11186,0.0
1332,12911,0.0
1333,12911,0.0
1375,11186,0.0
1410,11186,0.0
1444,12911,0.0
1444,20440,0.0
1445,12911,0.0
1445,20440,0.0
1555,9191,0.0
1555,11186,0.0
1555,12911,0.0
1555,20440,0.0
1676,11186,0.0
1680,9191,0.0
1680,11186,0.0
1680,12911,0.0
1680,13758,0.0
1680,20440,0.0
1911,12911,0.0
1911,20440,0.0
1913,9191,0.0
1913,11186,0.0
1914,11186,0.0
1914,12911,0.0
1914,20440,0.0
1941,11186,0.0
2010,9191,0.0
2041,9191,0.0
2041,11186,0.0
2068,11186,0.0
2068,12911,0.0
2068,20440,0.0
2104,12911,0.0
2104,20440,0.0
2169,16170,0.0
2172,12911,0.0
2172,20440,0.0
2173,11186,0.0
2203,9191,0.0
2203,11186,0.0
2203,12911,0.0
2203,20440,0.0
2205,11186,0.0
2205,12911,0.0
2205,20440,0.0
2279,12911,0.0
2279,20440,0.0
2280,12911,0.0
2280,20440,0.0
2325,9191,0.0
2325,11186,0.0
2325,12911,0.0
2325,20440,0.0
2417,11186,0.0
2417,12911,0.0
2417,20440,0.0
2454,9191,0.0
2454,12911,0.0
2454,20440,0.0
2455,11186,0.0
2455,16170,0.0
2530,9191,0.0
2532,11186,0.0
2533,9191,0.0
2533,11186,0.0
2533,12911,0.0
2533,20440,0.0
2545,9191,0.0
2545,11186,0.0
2545,12911,0.0
2545,20440,0.0
2547,11186,0.0
228,10495,0.0
228,10520,0.0
228,18948,0.0
1269,10495,0.0
1269,10520,0.0
1269,18948,0.0
1549,10495,0.0
1549,10520,0.0
1549,18948,0.0
1549,20651,0.0
1935,10495,0.0
1935,10520,0.0
1935,12527,0.0
1935,18948,0.0
1935,20651,0.0
2314,10495,0.0
2314,10520,0.0
2314,18948,0.0
3,7917,0.0
164,531,0.0
164,813,0.0
164,2041,0.0
164,2820,0.0
164,2829,0.0
164,5452,0.0
164,6745,0.0
164,6750,0.0
164,6753,0.0
164,6754,0.0
164,8426,0.0
164,10742,0.0
164,10744,0.0
164,10751,0.0
164,12222,0.0
164,12436,0.0
164,12474,0.0
164,14690,0.0
164,14701,0.0
164,18636,0.0
164,21794,0.0
164,21812,0.0
164,22069,0.0
191,14403,0.0
191,20716,0.0
1072,5452,0.0
1072,8237,0.0
1072,14403,0.0
1072,21310,0.0
1282,813,0.0
1282,2820,0.0
1282,4733,0.0
1282,8426,0.0
1282,12474,0.0
1282,12784,0.0
1282,14690,0.0
1282,14697,0.0
1282,16162,0.0
1282,19831,0.0
1282,21794,0.0
1282,22069,0.0
